Sys,Band,Signal,Frequency[MHz],Modulation,Rate(MHz),P_t (dBW),G_t (dBi)
QZS-1,L1,SAIF,1575.42,BPSK(1),1.023,10.0,10.0
QZS-1,L2,L2CM,1227.6,BPSK(1),0.5115,0.0,0.0
QZS-1,L2,L2CL,1227.6,BPSK(1),0.5115,0.0,0.0
QZS-1,L6,L61(LEX)n,1278.75,BPSK(5),5.115,10.0,10.0
QZS-1,L6,L61(LEX)n,1278.75,BPSK(5),5.115,10.0,10.0
QZS-1,L6,L62o,1278.75,BPSK(5),5.115,10.0,10.0
QZS-1,L6,L62o,1278.75,BPSK(5),5.115,10.0,10.0
QZS-1,L5,L5I,1176.45,BPSK(10),10.23,16.0,16.0
QZS-1,L5,L5Q,1176.45,BPSK(10),10.23,16.0,16.0
IRNSS,L5,SPS,1176.45,BPSK(1),1.023,16.0,14.0
IRNSS,L5,RS-D,1176.45,"BOC(5,2)",2.046,18.0,16.0
IRNSS,L5,RS-P,1176.45,"BOC(5,2)",2.046,18.0,16.0
SBAS,L1,C/A,1575.42,BPSK(1),1.023,100.0,16.0
SBAS,L5,L5I,1176.45,BPSK(10),10.23,18.0,16.0
SBAS,L5,L5Qq,1176.45,BPSK(10),10.23,18.0,16.0
