OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
GPS BIIRM-6 (PRN 07),2008-012A,32711,PAY,+,US,2008-03-15,AFETR,,718.02,54.50,20745,19622,5.0119,,EA,ORB
GPS BIIRM-8 (PRN 05),2009-043A,35752,PAY,+,US,2009-08-17,AFETR,,717.93,56.26,20318,20044,6.3000,,EA,ORB
COSMOS 2456 (730),2009-070A,36111,PAY,+,CIS,2009-12-14,TYMSC,,675.73,65.07,19134,19126,5.0119,,EA,ORB
COSMOS 2457 (733),2009-070B,36112,PAY,B,CIS,2009-12-14,TYMSC,,675.74,65.05,19145,19115,6.3096,,EA,ORB
COSMOS 2460 (732),2010-007C,36402,PAY,+,CIS,2010-03-01,TYMSC,,675.73,65.36,19136,19124,4.7754,,EA,ORB
GPS BIIF-1  (PRN 25),2010-022A,36585,PAY,+,US,2010-05-28,AFETR,,717.81,54.26,20485,19871,5.9608,,EA,ORB
BEIDOU-2 IGSO-1 (C06),2010-036A,36828,PAY,+,PRC,2010-07-31,XICLF,,1435.84,54.30,36028,35535,31.6228,,EA,ORB
BEIDOU-2 G4 (C04),2010-057A,37210,PAY,+,PRC,2010-10-31,XICLF,,1436.11,3.86,35820,35754,19.9526,,EA,ORB
BEIDOU-2 IGSO-2 (C07),2010-068A,37256,PAY,+,PRC,2010-12-17,XICLF,,1436.36,47.39,36033,35550,21.5765,,EA,ORB
BEIDOU-2 IGSO-3 (C08),2011-013A,37384,PAY,+,PRC,2011-04-09,XICLF,,1435.80,62.54,35927,35635,31.6228,,EA,ORB
GSAT-8 (GAGAN/PRN 127),2011-022A,37605,PAY,+,IND,2011-05-20,FRGUI,,1436.08,2.36,35811,35762,6.3096,,EA,ORB
BEIDOU-2 IGSO-4 (C09),2011-038A,37763,PAY,+,PRC,2011-07-26,XICLF,,1436.15,54.60,36464,35112,16.2984,,EA,ORB
GSAT0101 (GALILEO-PFM),2011-060A,37846,PAY,+,ESA,2011-10-21,FRGUI,,844.70,56.96,23223,23221,12.6191,,EA,ORB
GSAT0102 (GALILEO-FM2),2011-060B,37847,PAY,+,ESA,2011-10-21,FRGUI,,844.69,56.96,23229,23215,20.1111,,EA,ORB
COSMOS 2476 (744),2011-064A,37867,PAY,+,CIS,2011-11-04,TYMSC,,675.73,65.33,19187,19072,6.3096,,EA,ORB
COSMOS 2477 (745),2011-064B,37868,PAY,+,CIS,2011-11-04,TYMSC,,675.73,65.33,19179,19080,5.5660,,EA,ORB
COSMOS 2475 (743),2011-064C,37869,PAY,+,CIS,2011-11-04,TYMSC,,675.73,65.34,19193,19067,6.3096,,EA,ORB
BEIDOU-2 IGSO-5 (C10),2011-073A,37948,PAY,+,PRC,2011-12-01,XICLF,,1435.99,47.53,36276,35293,12.5893,,EA,ORB
LUCH 5A (SDCM/PRN 140),2011-074B,37951,PAY,+,CIS,2011-12-11,TYMSC,,1436.08,8.98,35803,35770,25.1189,,EA,ORB
BEIDOU-2 G5 (C05),2012-008A,38091,PAY,+,PRC,2012-02-24,XICLF,,1436.14,3.79,35816,35759,10.1705,,EA,ORB
BEIDOU-2 M3 (C11),2012-018A,38250,PAY,+,PRC,2012-04-29,XICLF,,773.24,55.68,21592,21464,7.1433,,EA,ORB
BEIDOU-2 M4 (C12),2012-018B,38251,PAY,+,PRC,2012-04-29,XICLF,,773.24,55.58,21568,21488,7.9433,,EA,ORB
SES-5 (EGNOS/PRN 136),2012-036A,38652,PAY,+,SES,2012-07-09,TYMSC,,1436.10,0.02,35795,35778,37.7081,,EA,ORB
BEIDOU-2 M6 (C14),2012-050B,38775,PAY,+,PRC,2012-09-18,XICLF,,773.23,56.63,21559,21498,10.0000,,EA,ORB
GSAT-10 (GAGAN/PRN 128),2012-051B,38779,PAY,+,IND,2012-09-28,FRGUI,,1436.07,0.05,35810,35762,13.8482,,EA,ORB
GPS BIIF-3  (PRN 24),2012-053A,38833,PAY,+,US,2012-10-04,AFETR,,718.00,53.60,20676,19690,5.4748,,EA,ORB
GSAT0103 (GALILEO-FM3),2012-055A,38857,PAY,+,ESA,2012-10-12,FRGUI,,844.71,55.86,23228,23216,8.5737,,EA,ORB
BEIDOU-2 G6 (C02),2012-059A,38953,PAY,+,PRC,2012-10-25,XICLF,,1436.12,4.64,35816,35758,2.5119,,EA,ORB
LUCH 5B (SDCM/PRN 125),2012-061A,38977,PAY,+,CIS,2012-11-02,TYMSC,,1436.12,10.67,35812,35762,251.1897,,EA,ORB
COSMOS 2485 (747),2013-019A,39155,PAY,+,CIS,2013-04-26,PLMSC,,675.73,65.47,19189,19071,6.4166,,EA,ORB
GPS BIIF-4  (PRN 27),2013-023A,39166,PAY,+,US,2013-05-15,AFETR,,717.98,54.44,20560,19804,11.0000,,EA,ORB
IRNSS-1A,2013-034A,39199,PAY,P,IND,2013-07-01,SRILR,,1436.06,35.91,35870,35702,3.4785,,EA,ORB
GPS BIIF-5  (PRN 30),2014-008A,39533,PAY,+,US,2014-02-21,AFETR,,717.97,53.66,20404,19960,19.9413,,EA,ORB
ASTRA 5B (EGNOS/PRN 123),2014-011B,39617,PAY,+,SES,2014-03-22,FRGUI,,1436.11,0.10,35799,35775,21.6238,,EA,ORB
COSMOS 2492 (754),2014-012A,39620,PAY,+,CIS,2014-03-23,PLMSC,,675.73,65.24,19160,19100,6.4006,,EA,ORB
IRNSS-1B,2014-017A,39635,PAY,+,IND,2014-04-04,SRILR,,1436.12,28.77,35872,35702,6.3096,,EA,ORB
LUCH 5V (SDCM/PRN 141),2014-023A,39727,PAY,+,CIS,2014-04-28,TYMSC,,1436.12,5.35,35798,35776,22.5893,,EA,ORB
GPS BIIF-6  (PRN 06),2014-026A,39741,PAY,+,US,2014-05-17,AFETR,,718.01,56.45,20288,20078,20.5188,,EA,ORB
COSMOS 2500 (755),2014-032A,40001,PAY,+,CIS,2014-06-14,PLMSC,,675.73,65.18,19153,19106,11.3214,,EA,ORB
GPS BIIF-7  (PRN 09),2014-045A,40105,PAY,+,US,2014-08-02,AFETR,,717.97,55.42,20279,20086,10.7868,,EA,ORB
GSAT0201 (GALILEO 5),2014-050A,40128,PAY,B,ESA,2014-08-22,FRGUI,,776.20,48.78,26317,16881,4.1215,,EA,ORB
GSAT0202 (GALILEO 6),2014-050B,40129,PAY,B,ESA,2014-08-22,FRGUI,,776.20,48.80,26322,16877,2.0000,,EA,ORB
IRNSS-1C,2014-061A,40269,PAY,P,IND,2014-10-15,SRILR,,1436.11,6.74,35871,35702,0.0030,,EA,ORB
GPS BIIF-8  (PRN 03),2014-068A,40294,PAY,+,US,2014-10-29,AFETR,,718.00,57.05,20361,20005,15.7869,,EA,ORB
COSMOS 2501 (702K),2014-075A,40315,PAY,+,CIS,2014-11-30,PLMSC,,675.74,63.62,19187,19073,18.8988,,EA,ORB
GPS BIIF-9  (PRN 26),2015-013A,40534,PAY,+,US,2015-03-25,AFETR,,717.95,53.16,20482,19882,30.7354,,EA,ORB
GSAT0203 (GALILEO 7),2015-017A,40544,PAY,+,ESA,2015-03-27,FRGUI,,844.69,56.75,23235,23209,8.4512,,EA,ORB
GSAT0204 (GALILEO 8),2015-017B,40545,PAY,B,ESA,2015-03-27,FRGUI,,844.69,56.76,23235,23209,9.4592,,EA,ORB
BEIDOU-3S IGSO-1S (C31),2015-019A,40549,PAY,S,PRC,2015-03-30,XICLF,,1435.84,49.03,35945,35618,11.7883,,EA,ORB
GPS BIIF-10 (PRN 08),2015-033A,40730,PAY,+,US,2015-07-15,AFETR,,718.02,53.92,20495,19872,23.1000,,EA,ORB
BEIDOU-3S M2S (C58),2015-037A,40748,PAY,S,PRC,2015-07-25,XICLF,,773.23,54.79,21561,21495,16.1785,,EA,ORB
BEIDOU-3S M1S (C57),2015-037B,40749,PAY,S,PRC,2015-07-25,XICLF,,773.13,54.79,21531,21521,21.5375,,EA,ORB
GSAT0205 (GALILEO 9),2015-045A,40889,PAY,+,ESA,2015-09-11,FRGUI,,860.17,54.94,23602,23563,9.5282,,EA,ORB
GSAT0206 (GALILEO 10),2015-045B,40890,PAY,+,ESA,2015-09-11,FRGUI,,844.71,54.92,23230,23215,8.8826,,EA,ORB
BEIDOU-3S IGSO-2S (C56),2015-053A,40938,PAY,S,PRC,2015-09-29,XICLF,,1435.91,49.09,36059,35507,61.2179,,EA,ORB
GPS BIIF-11 (PRN 10),2015-062A,41019,PAY,+,US,2015-10-31,AFETR,,717.96,57.02,20490,19874,15.9174,,EA,ORB
GSAT-15 (GAGAN/PRN 139),2015-065A,41028,PAY,+,IND,2015-11-10,FRGUI,,1436.11,0.04,35795,35779,44.2120,,EA,ORB
GSAT0209 (GALILEO 12),2015-079A,41174,PAY,+,ESA,2015-12-17,FRGUI,,844.70,55.88,23234,23210,6.7254,,EA,ORB
GSAT0208 (GALILEO 11),2015-079B,41175,PAY,+,ESA,2015-12-17,FRGUI,,844.71,55.88,23238,23207,9.9514,,EA,ORB
IRNSS-1E,2016-003A,41241,PAY,P,IND,2016-01-20,SRILR,,1436.04,33.43,35876,35695,9.9385,,EA,ORB
GPS BIIF-12 (PRN 32),2016-007A,41328,PAY,+,US,2016-02-05,AFETR,,717.94,55.58,20441,19922,26.1193,,EA,ORB
COSMOS 2514 (751),2016-008A,41330,PAY,+,CIS,2016-02-07,PLMSC,,675.73,64.96,19165,19095,11.2901,,EA,ORB
BEIDOU-2 IGSO-6 (C13),2016-021A,41434,PAY,+,PRC,2016-03-29,XICLF,,1435.95,60.36,36044,35523,26.1904,,EA,ORB
IRNSS-1G,2016-027A,41469,PAY,P,IND,2016-04-28,SRILR,,1436.21,5.41,35805,35772,8.5592,,EA,ORB
GSAT0211 (GALILEO 14),2016-030A,41549,PAY,+,ESA,2016-05-24,FRGUI,,844.71,55.08,23233,23211,6.5968,,EA,ORB
GSAT0210 (GALILEO 13),2016-030B,41550,PAY,+,ESA,2016-05-24,FRGUI,,844.71,55.07,23234,23210,15.8866,,EA,ORB
BEIDOU-2 G7 (C03),2016-037A,41586,PAY,+,PRC,2016-06-12,XICLF,,1436.05,1.94,35808,35763,19.0112,,EA,ORB
EUTELSAT 117 WEST B (WAAS/PRN 131),2016-038B,41589,PAY,+,EUTE,2016-06-15,AFETR,,1436.09,0.02,35787,35786,0.0794,,EA,ORB
GSAT0207 (GALILEO 15),2016-069A,41859,PAY,+,ESA,2016-11-17,FRGUI,,844.70,55.56,23231,23213,18.3608,,EA,ORB
GSAT0212 (GALILEO 16),2016-069B,41860,PAY,+,ESA,2016-11-17,FRGUI,,844.70,55.55,23234,23211,2.7896,,EA,ORB
GSAT0213 (GALILEO 17),2016-069C,41861,PAY,+,ESA,2016-11-17,FRGUI,,844.70,55.56,23228,23216,14.1741,,EA,ORB
GSAT0214 (GALILEO 18),2016-069D,41862,PAY,+,ESA,2016-11-17,FRGUI,,844.70,55.55,23228,23217,8.5742,,EA,ORB
SES-15 (WAAS/PRN 133),2017-026A,42709,PAY,+,SES,2017-05-18,FRGUI,,1436.13,0.05,35789,35786,,,EA,ORB
QZS-2 (QZSS/PRN 194),2017-028A,42738,PAY,+,JPN,2017-06-01,TANSC,,1436.25,39.30,38954,32625,,,EA,ORB
QZS-3 (QZSS/PRN 199),2017-048A,42917,PAY,+,JPN,2017-08-19,TANSC,,1436.07,0.05,35793,35779,,,EA,ORB
COSMOS 2522 (752),2017-055A,42939,PAY,+,CIS,2017-09-22,PLMSC,,675.73,64.08,19154,19106,,,EA,ORB
QZS-4 (QZSS/PRN 195),2017-062A,42965,PAY,+,JPN,2017-10-09,TANSC,,1436.06,40.05,38946,32625,,,EA,ORB
BEIDOU-3 M1 (C19),2017-069A,43001,PAY,+,PRC,2017-11-05,XICLF,,773.23,56.77,21548,21508,,,EA,ORB
BEIDOU-3 M2 (C20),2017-069B,43002,PAY,+,PRC,2017-11-05,XICLF,,773.24,56.77,21546,21511,,,EA,ORB
GSAT0215 (GALILEO 19),2017-079A,43055,PAY,+,ESA,2017-12-12,FRGUI,,844.70,55.05,23232,23212,,,EA,ORB
GSAT0216 (GALILEO 20),2017-079B,43056,PAY,+,ESA,2017-12-12,FRGUI,,844.70,55.05,23236,23209,,,EA,ORB
GSAT0217 (GALILEO 21),2017-079C,43057,PAY,+,ESA,2017-12-12,FRGUI,,844.70,55.05,23234,23210,,,EA,ORB
GSAT0218 (GALILEO 22),2017-079D,43058,PAY,+,ESA,2017-12-12,FRGUI,,844.70,55.05,23237,23207,,,EA,ORB
BEIDOU-3 M7 (C27),2018-003A,43107,PAY,+,PRC,2018-01-11,XICLF,,773.25,54.25,21537,21519,,,EA,ORB
BEIDOU-3 M8 (C28),2018-003B,43108,PAY,+,PRC,2018-01-11,XICLF,,773.23,54.24,21540,21516,,,EA,ORB
BEIDOU-3 M4 (C22),2018-018A,43207,PAY,+,PRC,2018-02-12,XICLF,,773.23,56.73,21545,21511,,,EA,ORB
BEIDOU-3 M3 (C21),2018-018B,43208,PAY,+,PRC,2018-02-12,XICLF,,773.23,56.73,21543,21513,,,EA,ORB
BEIDOU-3 M9 (C29),2018-029A,43245,PAY,+,PRC,2018-03-29,XICLF,,773.24,54.11,21533,21524,,,EA,ORB
BEIDOU-3 M10 (C30),2018-029B,43246,PAY,+,PRC,2018-03-29,XICLF,,773.24,54.11,21536,21521,,,EA,ORB
IRNSS-1I,2018-035A,43286,PAY,+,IND,2018-04-11,SRILR,,1436.09,28.96,35874,35699,,,EA,ORB
COSMOS 2527 (756),2018-053A,43508,PAY,+,CIS,2018-06-16,PLMSC,,675.73,65.63,19148,19112,,,EA,ORB
BEIDOU-2 IGSO-7 (C16),2018-057A,43539,PAY,+,PRC,2018-07-09,XICLF,,1436.02,55.21,36241,35329,,,EA,ORB
GSAT0221 (GALILEO 25),2018-060A,43564,PAY,+,ESA,2018-07-25,FRGUI,,844.69,57.14,23235,23209,,,EA,ORB
GSAT0222 (GALILEO 26),2018-060B,43565,PAY,+,ESA,2018-07-25,FRGUI,,844.69,57.14,23236,23208,,,EA,ORB
GSAT0219 (GALILEO 23),2018-060C,43566,PAY,+,ESA,2018-07-25,FRGUI,,844.69,57.14,23232,23212,,,EA,ORB
GSAT0220 (GALILEO 24),2018-060D,43567,PAY,+,ESA,2018-07-25,FRGUI,,844.69,57.14,23233,23211,,,EA,ORB
BEIDOU-3 M5 (C23),2018-062A,43581,PAY,+,PRC,2018-07-29,XICLF,,773.24,54.08,21540,21517,,,EA,ORB
BEIDOU-3 M6 (C24),2018-062B,43582,PAY,+,PRC,2018-07-29,XICLF,,773.25,54.08,21546,21510,,,EA,ORB
BEIDOU-3 M12 (C26),2018-067A,43602,PAY,+,PRC,2018-08-24,XICLF,,773.25,54.18,21553,21504,,,EA,ORB
BEIDOU-3 M11 (C25),2018-067B,43603,PAY,+,PRC,2018-08-24,XICLF,,773.25,54.18,21543,21514,,,EA,ORB
BEIDOU-3 M13 (C32),2018-072A,43622,PAY,+,PRC,2018-09-19,XICLF,,773.23,56.71,21540,21516,,,EA,ORB
BEIDOU-3 M14 (C33),2018-072B,43623,PAY,+,PRC,2018-09-19,XICLF,,773.23,56.71,21539,21518,,,EA,ORB
BEIDOU-3 M16 (C35),2018-078A,43647,PAY,+,PRC,2018-10-15,XICLF,,773.23,54.01,21545,21511,,,EA,ORB
BEIDOU-3 M15 (C34),2018-078B,43648,PAY,+,PRC,2018-10-15,XICLF,,773.25,54.00,21536,21521,,,EA,ORB
BEIDOU-3 G1 (C59),2018-085A,43683,PAY,+,PRC,2018-11-01,XICLF,,1436.10,2.62,35812,35761,,,EA,ORB
COSMOS 2529 (757),2018-086A,43687,PAY,+,CIS,2018-11-03,PLMSC,,675.73,64.30,19157,19103,,,EA,ORB
BEIDOU-3 M17 (C36),2018-093A,43706,PAY,+,PRC,2018-11-18,XICLF,,773.24,54.17,21552,21505,,,EA,ORB
BEIDOU-3 M18 (C37),2018-093B,43707,PAY,+,PRC,2018-11-18,XICLF,,773.25,54.17,21549,21508,,,EA,ORB
GPS BIII-1  (PRN 04),2018-109A,43873,PAY,+,US,2018-12-23,AFETR,,717.97,55.74,20289,20076,,,EA,ORB
BEIDOU-3 IGSO-1 (C38),2019-023A,44204,PAY,+,PRC,2019-04-20,XICLF,,1436.18,58.82,35905,35671,,,EA,ORB
BEIDOU-2 G8 (C01),2019-027A,44231,PAY,+,PRC,2019-05-17,XICLF,,1436.10,1.88,35825,35748,,,EA,ORB
COSMOS 2534 (758),2019-030A,44299,PAY,+,CIS,2019-05-27,PLMSC,,675.73,64.37,19160,19100,,,EA,ORB
BEIDOU-3 IGSO-2 (C39),2019-035A,44337,PAY,+,PRC,2019-06-24,XICLF,,1436.08,55.25,35950,35623,,,EA,ORB
GPS BIII-2  (PRN 18),2019-056A,44506,PAY,+,US,2019-08-22,AFETR,,717.95,55.59,20356,20007,,,EA,ORB
BEIDOU-3 M24 (C46),2019-061A,44542,PAY,+,PRC,2019-09-22,XICLF,,773.24,54.39,21554,21502,,,EA,ORB
BEIDOU-3 M23 (C45),2019-061B,44543,PAY,+,PRC,2019-09-22,XICLF,,773.25,54.39,21545,21511,,,EA,ORB
EUTELSAT 5 WEST B (EGNOS/PRN 121),2019-067A,44624,PAY,P,EUTE,2019-10-09,TYMSC,,1436.09,0.08,35800,35773,,,EA,ORB
BEIDOU-3 IGSO-3 (C40),2019-073A,44709,PAY,+,PRC,2019-11-04,XICLF,,1436.22,54.65,35987,35592,,,EA,ORB
BEIDOU-3 M22 (C44),2019-078A,44793,PAY,+,PRC,2019-11-23,XICLF,,773.25,53.85,21542,21515,,,EA,ORB
BEIDOU-3 M21 (C43),2019-078B,44794,PAY,+,PRC,2019-11-23,XICLF,,773.25,53.83,21536,21521,,,EA,ORB
COSMOS 2544 (759),2019-088A,44850,PAY,+,CIS,2019-12-11,PLMSC,,675.73,65.62,19160,19100,,,EA,ORB
BEIDOU-3 M19 (C41),2019-090A,44864,PAY,+,PRC,2019-12-16,XICLF,,773.23,56.64,21572,21484,,,EA,ORB
BEIDOU-3 M20 (C42),2019-090B,44865,PAY,+,PRC,2019-12-16,XICLF,,773.23,56.64,21564,21492,,,EA,ORB
BEIDOU-3 G2 (C60),2020-017A,45344,PAY,+,PRC,2020-03-09,XICLF,,1436.09,2.59,35795,35778,,,EA,ORB
COSMOS 2545 (760),2020-018A,45358,PAY,+,CIS,2020-03-16,PLMSC,,675.73,64.30,19160,19100,,,EA,ORB
BEIDOU-3 G3 (C61),2020-040A,45807,PAY,+,PRC,2020-06-23,XICLF,,1436.14,2.66,35799,35776,,,EA,ORB
GPS BIII-3  (PRN 23),2020-041A,45854,PAY,+,US,2020-06-30,AFETR,,717.94,56.72,20362,20001,,,EA,ORB
GALAXY 30 (WAAS/PRN 135),2020-056C,46114,PAY,+,US,2020-08-15,FRGUI,,1436.10,0.02,35796,35778,,,EA,ORB
COSMOS 2547 (705K),2020-075A,46805,PAY,+,CIS,2020-10-25,PLMSC,,675.74,64.60,19152,19108,,,EA,ORB
GPS BIII-4  (PRN 14),2020-078A,46826,PAY,+,US,2020-11-05,AFETR,,717.97,53.97,20384,19980,,,EA,ORB
GPS BIII-5  (PRN 11),2021-054A,48859,PAY,+,US,2021-06-17,AFETR,,717.98,55.12,20258,20106,,,EA,ORB
QZS-1R (QZSS/PRN 196),2021-096A,49336,PAY,+,JPN,2021-10-26,TANSC,,1435.87,37.65,38918,32646,,,EA,ORB
GSAT0223 (GALILEO 27),2021-116A,49809,PAY,+,ESA,2021-12-05,FRGUI,,844.69,57.12,23233,23210,,,EA,ORB
GSAT0224 (GALILEO 28),2021-116B,49810,PAY,+,ESA,2021-12-05,FRGUI,,844.69,57.13,23231,23212,,,EA,ORB
COSMOS 2557 (706K),2022-075A,52984,PAY,+,CIS,2022-07-07,PLMSC,,675.73,64.24,19162,19098,,,EA,ORB
COSMOS 2559 (707K),2022-130A,54031,PAY,+,CIS,2022-10-10,PLMSC,,675.73,64.21,19164,19096,,,EA,ORB
COSMOS 2564 (761),2022-161A,54377,PAY,+,CIS,2022-11-28,PLMSC,,675.73,64.74,19158,19102,,,EA,ORB
GPS BIII-6  (PRN 28),2023-009A,55268,PAY,+,US,2023-01-18,AFETR,,717.97,55.13,20197,20167,,,EA,ORB
BEIDOU-3 G4 (C62),2023-066A,56564,PAY,+,PRC,2023-05-17,XICLF,,1436.11,0.44,35809,35765,,,EA,ORB
NVS-01 (IRNSS-1J),2023-076A,56759,PAY,+,IND,2023-05-29,SRILR,,1436.03,1.96,35809,35761,,,EA,ORB
COSMOS 2569 (703K),2023-114A,57517,PAY,S,CIS,2023-08-07,PLMSC,,675.73,65.36,19152,19108,,,EA,ORB
BEIDOU-3 M28 (C50),2023-207A,58654,PAY,+,PRC,2023-12-26,XICLF,,773.24,55.84,21530,21526,,,EA,ORB
BEIDOU-3 M26 (C48),2023-207B,58655,PAY,+,PRC,2023-12-26,XICLF,,773.24,55.84,21531,21526,,,EA,ORB
GSAT0225 (GALILEO 29),2024-079A,59598,PAY,+,ESA,2024-04-28,AFETR,,844.70,55.18,23226,23218,,,EA,ORB
GSAT0227 (GALILEO 30),2024-079C,59600,PAY,+,ESA,2024-04-28,AFETR,,844.70,55.17,23234,23210,,,EA,ORB
GSAT0232 (GALILEO 32),2024-167A,61182,PAY,+,ESA,2024-09-17,AFETR,,844.71,55.17,23239,23206,,,EA,ORB
GSAT0226 (GALILEO 31),2024-167B,61183,PAY,+,ESA,2024-09-17,AFETR,,844.71,55.16,23229,23215,,,EA,ORB
BEIDOU-3 M25 (C47),2024-168B,61186,PAY,+,PRC,2024-09-19,XICLF,,773.24,54.39,21541,21515,,,EA,ORB
BEIDOU-3 M27 (C49),2024-168C,61187,PAY,+,PRC,2024-09-19,XICLF,,773.24,54.39,21531,21525,,,EA,ORB
GPS BIII-7  (PRN 01),2024-242A,62339,PAY,+,US,2024-12-17,AFETR,,717.94,54.81,20232,20130,,,EA,ORB
QZS-6 (QZSS/PRN 200),2025-023A,62876,PAY,+,JPN,2025-02-02,TANSC,,1436.13,0.05,35794,35780,,,EA,ORB
COSMOS 2584 (704K),2025-042A,63130,PAY,S,CIS,2025-03-02,PLMSC,,675.73,65.14,19146,19113,,,EA,ORB
GPS BIII-8  (PRN 21),2025-116A,64202,PAY,+,US,2025-05-30,AFETR,,717.96,55.29,20206,20158,,,EA,ORB
COSMOS 2596 (708K),2025-206B,65590,PAY,+,CIS,2025-09-13,PLMSC,,675.74,64.58,19162,19098,,,EA,ORB
GSAT0233 (GALILEO 33),2025-302A,67160,PAY,+,ESA,2025-12-17,FRGUI,,844.70,54.39,23231,23213,,,EA,ORB
GSAT0234 (GALILEO 34),2025-302C,67162,PAY,+,ESA,2025-12-17,FRGUI,,844.70,54.39,23224,23221,,,EA,ORB
GPS BIII-9  (PRN 20),2026-017A,67588,PAY,+,US,2026-01-28,AFETR,,717.96,55.15,20237,20127,,,EA,ORB
GPS BIII-10 (PRN 13),2026-087A,68791,PAY,+,US,2026-04-21,AFETR,,717.93,54.95,20238,20124,,,EA,ORB
COSMOS 2619,2026-194A,100460,PAY,+,CIS,2026-08-24,PLMSC,,676.98,64.76,19173,19149,,,EA,ORB
